ticker,date,time,headline
fb,Sep-19-18,04:19PM,This Is Why the S&P 500 Will Rally Big Into the End of 2018
fb,Sep-19-18,04:04PM,Closing Bell: LIVE MARKETS BLOG
fb,Sep-19-18,04:02PM,5 Top Stock Trades for Thursday  Trading FANG Stocks and Tilray
fb,Sep-19-18,03:53PM,Lawsuit says Facebook lets employers exclude women in recruiting campaigns
fb,Sep-19-18,03:36PM,A Concern for Tech ETFs Despite QQQ Up 18% YTD?
fb,Sep-19-18,03:34PM,Should Google & Facebook Fear Amazon's Growing Ad Business?
fb,Sep-19-18,03:21PM,Not just tech: The stock-market rally is broader than its given credit for
fb,Sep-19-18,02:50PM,"Facebook yet to comply with EU consumer rules, Airbnb in line: EU sources"
fb,Sep-19-18,02:01PM,Facebook accused of discriminating against women with male-targeted job adverts
fb,Sep-19-18,10:56AM,"Amazon Gains Ad Market Share From Google, Facebook"
fb,Sep-19-18,10:45AM,Amazon's Ad Business Moves Up to Third in U.S. Market Share
fb,Sep-19-18,10:40AM,New Alexa Devices Can Power Amazon Stock  and Hurt Rivals
fb,Sep-19-18,10:24AM,Job postings suggest Facebook could be developing an in-house AR chip
fb,Sep-19-18,10:17AM,Amazon to become the third largest digital ad platform in the U.S.
fb,Sep-19-18,10:14AM,"These are the 10 most relevant brands to consumersFacebook, Twitter, Snapchat didn't make the list"
fb,Sep-19-18,09:19AM,"FINAL DEADLINE ALERT: Brower Piven Reminds Shareholders Of Approaching Deadline In Class Action Lawsuit And Encourages Those Who Have Losses In Excess Of $100,000 From Investment In Facebook, Inc. (Nasdaq: FB) To Contact The Firm"
fb,Sep-19-18,07:40AM,Amazon makes headway in breaking up Facebook and Google's digital ad duopoly
fb,Sep-19-18,06:00AM,"Amazon Increases Ad Market Share at Expense of Google, Facebook"
fb,Sep-18-18,08:20PM,[$$] Facebook and Financial Firms Tussled for Years Over Access to User Data
fb,Sep-18-18,08:20PM,[$$] Bertelsmann to Merge Unit That Moderates for Facebook With a Competitor
fb,Sep-18-18,07:12PM,Oregon using Facebook to remind inactive voters to register
fb,Sep-18-18,06:56PM,"The Law Offices of Howard G. Smith Reminds Investors of Looming Deadline in the Class Action Lawsuit Against Facebook, Inc. (FB)"
fb,Sep-18-18,06:47PM,Oregon using Facebook to remind inactive voters to register
fb,Sep-18-18,06:35PM,"The Law Offices of Howard G. Smith Reminds Investors of Looming Deadline in the Class Action Lawsuit Against Facebook, Inc. (FB)"
fb,Sep-18-18,05:43PM,Facebook accused of gender bias
fb,Sep-18-18,03:42PM,QAnon Is Trying to Trick Facebooks Meme-Reading AI
fb,Sep-18-18,03:14PM,Facebook accused of discriminating against women with targeted job adverts
fb,Sep-18-18,03:11PM,Here's Another Way Facebook Can Monetize Instagram
fb,Sep-18-18,03:07PM,The Decline of Facebook Stock Has Created a Good Buying Opportunity
fb,Sep-18-18,02:38PM,ACLU: Facebook allows gender-biased job ads on its platform
fb,Sep-18-18,02:36PM,Facebook Is JPMorgan's Most Controversial Company in Portfolio
fb,Sep-18-18,02:36PM,ACLU: Facebook allows gender-biased job ads on its platform
fb,Sep-18-18,02:05PM,Only One of These Media Stocks Is a Long-Term Buy on NFL Prospects
fb,Sep-18-18,02:00PM,ACLU Files Discrimination Complaint Against Facebook for Targeted Job Ads
fb,Sep-18-18,01:54PM,Investors Pour Money Into This ETF Ahead of Index Reorganization
fb,Sep-18-18,01:40PM,The Tesla of China & the Facebook-Macy's Connection | Free Lunch
fb,Sep-18-18,01:24PM,"Facebook Can't Settle One Ad Bias Claim, Gets Hit With Another"
fb,Sep-18-18,01:24PM,"Facebook Can't Settle an Ad Bias Claim, Draws New Complaint"
fb,Sep-18-18,01:00PM,"CLASS ACTION UPDATE for TSLA, RMTI and FB: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders"
fb,Sep-18-18,12:50PM,Facebook Is Facing a Legal Battle with ACLU & CWA
tsla,Jan-04-19,08:36PM,Why Tesla Stock Popped 6%
tsla,Jan-04-19,07:42PM,Tesla urges tariff exemption for Chinese-made car computer 'brain'
tsla,Jan-04-19,07:17PM,Tesla urges tariff exemption for Chinese-made car computer 'brain'
tsla,Jan-04-19,07:07PM,Tesla urges tariff exemption for Chinese-made car computer 'brain'
tsla,Jan-04-19,06:19PM,Elon Musk Isnt Keen on Investors Dragging Girlfriend Into Tweet Lawsuit
tsla,Jan-04-19,06:02PM,"CNBC Tech Check Evening Edition: January 04, 2019"
tsla,Jan-04-19,04:26PM,"Tesla Ready To Deliver Model 3 Vehicles To China, Europe"
tsla,Jan-04-19,04:06PM,"Stock Market Rally Extends On Fed Chairman Powell, Jobs; Apple, Tesla, Delta Disappoint; Bristol-Myers Buys Celgene: Weekly Review"
tsla,Jan-04-19,03:56PM,Buy Tesla (TSLA) Stock in 2019 on International Model 3 Expansion?
tsla,Jan-04-19,12:32PM,AT&T Stock Still Is One of the Best Downturn Plays
tsla,Jan-04-19,11:50AM,Tesla and GM Are Watching Their Federal Tax Credits Dwindle
tsla,Jan-04-19,11:48AM,Tesla to start delivering Model 3 to China buyers in March
tsla,Jan-04-19,11:46AM,Longtime Tesla Bear Still Expects A Sharp Valuation Plunge
tsla,Jan-04-19,11:07AM,Elon Musk wants to keep ex-girlfriend Grimes out of an investor lawsuit over his take-private tweet
tsla,Jan-04-19,10:16AM,Apples stock price wont recover and 9 more bold predictions for 2019
tsla,Jan-04-19,10:00AM,Tesla's biggest bear says stock will tank 70 percent in 2019
tsla,Jan-04-19,09:27AM,The Tesla Model Y will be unveiled this year  here are the latest updates
tsla,Jan-04-19,09:19AM,Tesla opens up Model 3 configuration to left-hand drive European countries
tsla,Jan-04-19,09:00AM,Musk Deletes Tweet Sharing Incorrect Report of Tesla Sales Win
tsla,Jan-04-19,08:55AM,Tesla's not-so-happy start to the new year
tsla,Jan-04-19,08:22AM,Truckin': Auto Sales Pivot Away From Cars In 2018
tsla,Jan-04-19,08:10AM,German annual car sales fall 0.2 percent as diesel bans dampen demand
tsla,Jan-04-19,08:09AM,German annual car sales fall 0.2 pct as diesel bans dampen demand
tsla,Jan-04-19,07:55AM,Tesla to Begin Model 3 Deliveries to China Customers in March
tsla,Jan-04-19,07:17AM,"Stocks making the biggest moves premarket: LUV, TSLA, NFLX, INTC & more"
tsla,Jan-04-19,07:08AM,"Jobs Report, Jerome Powell, Apple, Tesla, Trade Talks - 5 Things You Must Know"
tsla,Jan-04-19,07:00AM,Today's Research Reports on Trending Tickers: General Motors and Tesla
tsla,Jan-04-19,06:58AM,"Tesla delivery numbers reveal little about the future, unless you want them to"
tsla,Jan-04-19,12:01AM,Tesla IsÂ Close to Model 3 Approval for Europe Sales
tsla,Jan-03-19,10:06PM,Tesla's Musk Says Singapore Government Has Been Unwelcoming
tsla,Jan-03-19,06:20PM,"Tesla stock drops over missed delivery estimates, price cuts"
tsla,Jan-03-19,05:44PM,Tesla Down Almost 10% in 2019 Despite Model 3 Cracking Top 5 in Sedan Sales
tsla,Jan-03-19,05:23PM,"Born with 'gasoline in his blood,' GM's Reuss adds president to long list of duties"
tsla,Jan-03-19,05:15PM,"SpaceX confirms its raising $500 million, still lists Steve Jurvetson as board member"
tsla,Jan-03-19,04:11PM,"Space Taxis, Air Taxis, Robotaxis Make 2019 A Pivotal Year In Mobility"
tsla,Jan-03-19,04:11PM,Heres What Analysts Said After Teslas Price Cut Announcement
tsla,Jan-03-19,04:09PM,"GM U.S. Sales Fall 2.7% In Q4; Ford, Fiat Chrysler Beat In December"
tsla,Jan-03-19,03:08PM,AP Explains: What Tesla price cuts mean for demand
tsla,Jan-03-19,03:05PM,Government shutdown may threaten SpaceXs unmanned Crew Dragon demo
tsla,Jan-03-19,02:50PM,"Analysts Tackle Tesla Price Cut, Demand Concerns"
tsla,Jan-03-19,11:42AM,What Is Artificial Intelligence? Examples and News in 2019
tsla,Jan-03-19,11:41AM,Detroit Auto Show will be 'all you can eat buffet of prof...
tsla,Jan-03-19,11:40AM,Could Tesla price cuts mean demand is slowing?
tsla,Jan-03-19,09:51AM,"Company News For Jan 3, 2019"
tsla,Jan-03-19,09:27AM,Tesla Stock Doomsayers Are Wrong About the Q4 Delivery Update
tsla,Jan-03-19,09:02AM,"Tesla (TSLA) Announces Q4 Deliveries, Slashes Price in the US"
tsla,Jan-03-19,08:41AM,"Auto Stock Roundup: Tesla Lowers Price, General Motors Reaches Tax Credit Phase Out Limit"
tsla,Jan-03-19,08:04AM,"3 Big Stock Charts for Thursday: Medtronic, Facebook and eBay"
tsla,Jan-03-19,04:24AM,Tesla Stock on a Blockchain Offers Hint of Where Crypto's Headed
tsla,Jan-03-19,01:36AM,"Tesla cuts U.S. prices on all vehicles, shares drop"
tsla,Jan-03-19,12:36AM,PRESS DIGEST -Wall Street Journal - Jan 3
tsla,Jan-02-19,10:50PM,"Tesla Shares Sink on Model 3 Delivery Miss, Price Cut"
tsla,Jan-02-19,08:06PM,Tesla: Growing Faster as It Gets Bigger?
tsla,Jan-02-19,07:52PM,"US STOCKS-Wall St ekes out gain, Apple cuts revenue forecast after the bell"
tsla,Jan-02-19,07:24PM,"Tesla Shares Sink on Model 3 Delivery Miss, Price Cuts"
tsla,Jan-02-19,06:59PM,Cut in federal tax credit poses 'risk' to Tesla: LMC Auto...
tsla,Jan-02-19,06:08PM,Why Tesla's electric slide could be a buying opportunity
tsla,Jan-02-19,05:59PM,Tesla's Unexpected Car Price Cut Sends Bonds Into the Tank
tsla,Jan-02-19,05:42PM,Why Tesla's electric slide could be a buying opportunity
tsla,Jan-02-19,05:32PM,"Tesla cuts U.S. prices on all vehicles, shares drop"
tsla,Jan-02-19,05:30PM,"US STOCKS-Wall St ekes out gains, Apple cuts revenue forecast after the bell"
tsla,Jan-02-19,04:35PM,"Why Tesla, MyoKardia, and Hologic Slumped Today"
tsla,Jan-02-19,04:21PM,Tesla Stock Falls As Model 3 Deliveries Fall Short In Fourth Quarter
tsla,Jan-02-19,04:20PM,Dow Ekes Out Gains as Oil Rally Lifts U.S. Stocks
tsla,Jan-02-19,04:19PM,Tesla shares fall after company missed delivery estimates
tsla,Jan-02-19,04:19PM,"3 Things to Know at Market Close: Netflix, Tesla and the Government Shutdown"
tsla,Jan-02-19,04:06PM,"U.S. Auto Sales, This Key Economic Gauge Are On Tap: Action Plan"
tsla,Jan-02-19,04:05PM,Teslas Price Cuts Raise Questions About Margins and Demand
tsla,Jan-02-19,04:05PM,Stocks end slightly higher to begin 2019 as Nasdaq bags five-day winning streak
